﻿Title:,Figure 14 - HE student enrolments by subject area and sex,,,,,,,,,,,
Subtitle:,Academic years 2013/14 to 2017/18,,,,,,,,,,,
Reference ID:,SB252 Figure 14,,,,,,,,,,,
Data source:,HESA,,,,,,,,,,,
Data source link:,https://www.hesa.ac.uk/data-and-analysis/sb252/figure-14,,,,,,,,,,,
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/sb252/figure-14.csv,,,,,,,,,,,
Licence:,Creative Commons Attribution 4.0 International Licence,,,,,,,,,,,
Date:,2019,,,,,,,,,,,
Filters:,First year marker,All ,,,,,,,,,,
,Level of study,All ,,,,,,,,,,
,Mode of study,All ,,,,,,,,,,
,Country of HE provider,All ,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,2015/16,,,,2016/17,,,,2017/18,,,
Subject Area,Female,Male,Other,Total,Female,Male,Other,Total,Female,Male,Other,Total
(1) Medicine & dentistry,"37,420","28,120",10,"65,550","37,430","27,645",35,"65,110","38,340","27,475",65,"65,875"
(2) Subjects allied to medicine,"2,26,010","58,895",25,"2,84,935","2,29,905","60,770",95,"2,90,770","2,27,725","60,160",180,"2,88,065"
(3) Biological sciences,"1,34,315","82,965",30,"2,17,310","1,42,585","83,730",85,"2,26,395","1,49,890","83,900",180,"2,33,970"
(4) Veterinary science,"5,205","1,570",0,"6,775","5,520","1,625",0,"7,145","6,110","1,745",0,"7,860"
(5) Agriculture & related subjects,"11,805","7,220",0,"19,025","11,815","6,835",5,"18,655","11,955","6,715",10,"18,680"
(6) Physical sciences,"38,305","56,590",30,"94,920","39,200","55,925",45,"95,170","40,645","55,010",65,"95,720"
(7) Mathematical sciences,"16,065","27,080",10,"43,155","16,265","27,580",35,"43,880","16,460","28,080",35,"44,575"
(8) Computer science,"16,505","79,735",20,"96,260","17,390","83,710",45,"1,01,145","18,880","88,305",65,"1,07,250"
(9) Engineering & technology,"27,760","1,35,465",30,"1,63,255","29,025","1,36,085",45,"1,65,155","30,050","1,34,870",55,"1,64,975"
"(A) Architecture, building & planning","18,285","31,095",5,"49,385","19,350","31,905",10,"51,265","20,475","33,130",15,"53,620"
Total - Science subject areas,"5,31,675","5,08,735",160,"10,40,570","5,48,485","5,15,810",405,"10,64,700","5,60,530","5,19,395",670,"10,80,590"
(B) Social studies,"1,35,185","78,910",50,"2,14,145","1,39,915","81,685",115,"2,21,710","1,45,030","84,155",175,"2,29,360"
(C) Law,"54,720","33,925",20,"88,665","55,985","33,715",35,"89,730","58,455","33,665",50,"92,165"
(D) Business & administrative studies,"1,62,160","1,64,310",30,"3,26,500","1,64,955","1,68,415",50,"3,33,425","1,70,240","1,72,650",80,"3,42,970"
(E) Mass communications & documentation,"29,330","19,970",15,"49,320","29,820","20,560",40,"50,420","30,360","20,935",65,"51,360"
(F) Languages,"76,070","32,255",35,"1,08,355","75,615","31,365",60,"1,07,040","73,375","30,005",165,"1,03,545"
(G) Historical & philosophical studies,"45,750","39,590",40,"85,375","46,260","39,110",85,"85,455","46,055","37,910",155,"84,115"
(H) Creative arts & design,"1,08,560","61,175",90,"1,69,825","1,13,275","62,235",190,"1,75,700","1,15,455","62,685",275,"1,78,415"
(I) Education,"1,19,220","36,905",25,"1,56,150","1,15,560","35,455",40,"1,51,060","1,12,490","32,895",60,"1,45,445"
(J) Combined,"26,010","15,895",15,"41,920","24,165","14,470",5,"38,640","21,665","13,440",15,"35,120"
Total - Non-science subject areas,"7,57,005","4,82,935",320,"12,40,255","7,65,550","4,87,010",620,"12,53,175","7,73,125","4,88,335","1,040","12,62,500"
Total,"12,88,680","9,91,670",480,"22,80,830","13,14,035","10,02,820","1,025","23,17,880","13,33,650","10,07,730","1,710","23,43,095"
